974383193;Insert Data Faktur Penjualan dgn Pemebeli PT TELEKOMUNIKASI SELULAR (TELKOMSEL);14/01/2013 09:15:34; di Nopend 74300;
;Insert data pegawai;14/01/2013 09:27:05; ();
;Insert data pegawai;14/01/2013 09:27:31; ();
FP-1;Ubah data user;14/01/2013 09:30:21;987393080 ();
964195665;Ubah Data Faktur Penjualan 010.000-13.00000032;14/01/2013 09:30:49; di Nopend 12000 dengan id (30297);
FP-1;Insert data user;14/01/2013 09:30:55;961198412 ();
;Ubah data;14/01/2013 09:31:28; (286);
;Insert data pegawai;14/01/2013 09:41:07; ();
;Ubah data pegawai;14/01/2013 09:41:22; (199);
FP-1;Ubah data user;14/01/2013 09:41:49;972323399 ();
FP-1;Insert data user;14/01/2013 09:42:37;966257248 ();
;Ubah data;14/01/2013 09:46:41; (198);
971323781;Insert Data Faktur Penjualan dgn Pemebeli PT. PURA BARUTAMA;14/01/2013 10:03:02; di Nopend 59300;
;Insert data pegawai;14/01/2013 10:03:40; ();
;Ubah data pegawai;14/01/2013 10:03:57; (549);
;Insert data pegawai;14/01/2013 10:04:54; ();
FP-1;Ubah status data user;14/01/2013 10:07:08;549 (0);
FP-1;Insert data user;14/01/2013 10:07:34;979383766 ();
FP-1;Ubah data user;14/01/2013 10:08:01;988399027 ();
FP-1;Ubah status data user;14/01/2013 10:08:14;111 (0);
FP-1;Ubah data user;14/01/2013 10:08:25;988399027 ();
971323781;Insert Data Faktur Penjualan dgn Pemebeli PT. PURA BARUTAMA;14/01/2013 10:08:47; di Nopend 59300;
FP-1;Insert data user;14/01/2013 10:08:55;966318389 ();
;Ubah data;14/01/2013 10:09:45; (115);
;Ubah data pegawai;14/01/2013 10:15:20; (372);
;Ubah data pegawai;14/01/2013 10:15:40; (638);
FP-1;Ubah data user;14/01/2013 10:17:34;987400150 ();
FP-1;Ubah status data user;14/01/2013 10:17:40;638 (0);
FP-1;Ubah status data user;14/01/2013 10:17:42;638 (1);
FP-1;Ubah status data user;14/01/2013 10:17:44;372 (1);
FP-1;Ubah data user;14/01/2013 10:17:53;962234450 ();
;Ubah data;14/01/2013 10:18:23; (471);
