966241848;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI NUSANTARA;15/01/2013 09:03:12; di Nopend 75300;
976374390;Insert Data Faktur Penjualan dgn Pemebeli BANK INDONESIA JAKARTA;15/01/2013 10:00:48; di Nopend 10000;
;Ubah Status Verifikasi;15/01/2013 10:07:26; (29127);
;Ubah Status Verifikasi;15/01/2013 10:07:36; (29128);
;Ubah Status Verifikasi;15/01/2013 10:07:56; (29129);
;Ubah Status Verifikasi;15/01/2013 10:08:09; (29130);
;Ubah Status Verifikasi;15/01/2013 10:08:35; (29131);
;Ubah Status Verifikasi;15/01/2013 10:08:50; (29132);
;Ubah Status Verifikasi;15/01/2013 10:09:11; (29134);
;Ubah Status Verifikasi;15/01/2013 10:09:31; (29135);
;Ubah Status Verifikasi;15/01/2013 10:10:08; (29136);
;Ubah Status Verifikasi;15/01/2013 10:11:31; (29315);
;Ubah Status Verifikasi;15/01/2013 10:11:57; (29144);
;Ubah Status Verifikasi;15/01/2013 10:12:37; (29139);
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSP SEJAHTERA NGANJUK;15/01/2013 10:13:54; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli SOIM;15/01/2013 10:16:03; di Nopend 61300;
974357959;Insert Data Faktur Penjualan dgn Pemebeli KSU RAPPODI;15/01/2013 10:17:32; di Nopend 61300;
;Insert data pegawai;15/01/2013 11:24:28; ();
;Ubah data pegawai;15/01/2013 11:25:18; (70);
;Insert data pegawai;15/01/2013 11:27:44; ();
FP-1;Ubah status data user;15/01/2013 11:32:59;64 (0);
FP-1;Ubah data user;15/01/2013 11:33:55;968318370 ();
FP-1;Ubah status data user;15/01/2013 11:34:08;539 (0);
FP-1;Insert data user;15/01/2013 11:35:03;966301079 ();
FP-1;Insert data user;15/01/2013 11:35:58;967355862 ();
;Ubah data;15/01/2013 11:36:26; (67);
969300487;Terkait BiayaPT. DAPENSI TRIO USAHA;15/01/2013 11:39:27; di Nopend 22500;
;Insert data pegawai;15/01/2013 11:51:23; ();
;Insert data pegawai;15/01/2013 11:52:28; ();
FP-1;Ubah data user;15/01/2013 11:53:29;979377810 ();
FP-1;Insert data user;15/01/2013 11:54:08;980382038 ();
;Ubah data;15/01/2013 11:54:42; (412);
;Ubah Status Verifikasi;15/01/2013 12:00:39; (2);
971341679;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK MUAMALAT INDONESIA, Tbk;15/01/2013 12:23:21; di Nopend 17400;
FP-1;Ubah status data user;15/01/2013 12:27:03;568 (0);
FP-1;Ubah status data user;15/01/2013 12:27:05;569 (0);
FP-1;Ubah status data user;15/01/2013 12:27:13;547 (0);
FP-1;Ubah status data user;15/01/2013 12:27:15;82 (0);
FP-1;Ubah status data user;15/01/2013 12:27:45;563 (0);
FP-1;Ubah status data user;15/01/2013 12:27:47;116 (0);
971365283;Ubah Data Faktur Penjualan 030.000-12.00028683;15/01/2013 12:30:53; di Nopend 10009 dengan id (30011);
;Insert data pegawai;15/01/2013 12:59:39; ();
;Insert data pegawai;15/01/2013 13:00:40; ();
FP-1;Ubah status data user;15/01/2013 13:00:56;279 (0);
FP-1;Insert data user;15/01/2013 13:01:40;973343606 ();
FP-1;Insert data user;15/01/2013 13:02:23;964203911 ();
;Ubah data;15/01/2013 13:03:12; (409);
;Ubah data;15/01/2013 13:17:30; (1);
;Insert data;15/01/2013 13:19:05;KPP Wajib Pajak Besar Empat ();
967355862;Insert Data Faktur Penjualan dgn Pemebeli PT. Chevron Pacific Indonesia;15/01/2013 13:19:11; di Nopend 10000;
;Insert data pegawai;15/01/2013 13:22:21; ();
;Ubah data pegawai;15/01/2013 13:23:59; (790);
FP-1;Ubah status data user;15/01/2013 13:25:28;520 (0);
FP-1;Ubah data user;15/01/2013 13:25:41;967320033 ();
FP-1;Insert data user;15/01/2013 13:26:14;985392812 ();
FP-1;Insert data user;15/01/2013 13:26:53;971336246 ();
;Ubah data;15/01/2013 13:27:24; (343);
;Ubah data;15/01/2013 13:27:33; (344);
;Ubah data pegawai;15/01/2013 13:28:12; (503);
;Ubah data;15/01/2013 13:29:00; (344);
964210277;Insert Data Faktur Penjualan dgn Pemebeli PT BANK DANAMON INDONESIA CAPEM MENARA BANK DANAMON;15/01/2013 13:33:02; di Nopend 78000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT CHEVRON INDONESIA COMPANY ;15/01/2013 14:05:31; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT CHEVRON MAKASSAR , Ltd.;15/01/2013 14:10:52; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT. Chevron Geothermal Salak, Ltd;15/01/2013 14:11:52; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT. Chevron Geothermal  Indonesia, Ltd;15/01/2013 14:12:58; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT. Chevron Rapak, Ltd;15/01/2013 14:22:44; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT. Chevron West Papua I, Ltd;15/01/2013 14:23:34; di Nopend 10000;
967355862;Insert Data Faktur Penjualan dgn Pemebeli BUT. Chevron West Papua III, Ltd;15/01/2013 14:24:09; di Nopend 10000;
