979383766;Ubah Data Faktur Penjualan 010.000-13.00000092;17/01/2013 07:59:10; di Nopend 42300 dengan id (30357);
;Insert data pegawai;17/01/2013 08:16:28; ();
;Ubah data pegawai;17/01/2013 08:17:07; (635);
;Ubah data pegawai;17/01/2013 08:17:37; (205);
FP-1;Ubah data user;17/01/2013 08:18:00;982397112 ();
FP-1;Ubah data user;17/01/2013 08:18:13;983390733 ();
;Ubah data;17/01/2013 08:18:47; (204);
;Insert data pegawai;17/01/2013 08:20:39; ();
;Ubah data pegawai;17/01/2013 08:21:00; (649);
FP-1;Ubah data user;17/01/2013 08:21:23;967257396 ();
FP-1;Insert data user;17/01/2013 08:21:58;972327575 ();
;Ubah data;17/01/2013 08:22:27; (189);
;Insert data pegawai;17/01/2013 08:23:35; ();
;Ubah data pegawai;17/01/2013 08:24:01; (571);
;Ubah data pegawai;17/01/2013 08:24:27; (398);
FP-1;Ubah data user;17/01/2013 08:25:11;971323665 ();
FP-1;Ubah data user;17/01/2013 08:25:25;978383321 ();
;Ubah data;17/01/2013 08:25:56; (244);
;Insert data pegawai;17/01/2013 08:28:08; ();
;Ubah data pegawai;17/01/2013 08:28:26; (52);
FP-1;Ubah data user;17/01/2013 08:28:56;971327063 ();
FP-1;Insert data user;17/01/2013 08:29:33;975360036 ();
;Ubah data;17/01/2013 08:29:57; (51);
;Ubah Status Verifikasi;17/01/2013 08:33:53; (30300);
;Ubah Status Verifikasi;17/01/2013 08:33:59; (30301);
;Insert data pegawai;17/01/2013 08:41:46; ();
;Insert data pegawai;17/01/2013 08:42:27; ();
FP-1;Ubah status data user;17/01/2013 08:42:51;476 (0);
FP-1;Insert data user;17/01/2013 08:43:15;985393804 ();
FP-1;Insert data user;17/01/2013 08:43:46;989399175 ();
;Ubah data;17/01/2013 08:44:55; (321);
;Ubah data;17/01/2013 08:45:05; (322);
;Insert data pegawai;17/01/2013 08:48:07; ();
;Insert data pegawai;17/01/2013 08:49:00; ();
FP-1;Ubah status data user;17/01/2013 08:49:16;525 (0);
FP-1;Ubah status data user;17/01/2013 08:49:18;487 (0);
FP-1;Insert data user;17/01/2013 08:49:45;969288610 ();
FP-1;Insert data user;17/01/2013 08:50:28;986401020 ();
;Ubah data;17/01/2013 08:51:20; (335);
;Ubah data;17/01/2013 08:51:28; (336);
;Ubah data kegiatan;17/01/2013 09:21:42; (10239);
;Ubah data kegiatan;17/01/2013 09:22:33; (10237);
;Ubah data kegiatan;17/01/2013 09:22:55; (10130);
;Ubah data kegiatan;17/01/2013 09:23:41; (10244);
;Ubah data kegiatan;17/01/2013 09:24:09; (9995);
;Ubah data kegiatan;17/01/2013 09:24:53; (10194);
;Ubah data kegiatan;17/01/2013 09:25:12; (9829);
;Insert data pegawai;17/01/2013 09:29:54; ();
;Insert data pegawai;17/01/2013 09:30:57; ();
;Ubah data pegawai;17/01/2013 09:31:22; (410);
;Ubah data pegawai;17/01/2013 09:31:45; (410);
;Insert data pegawai;17/01/2013 09:32:43; ();
FP-1;Ubah status data user;17/01/2013 09:33:03;378 (0);
FP-1;Ubah status data user;17/01/2013 09:33:05;379 (0);
FP-1;Insert data user;17/01/2013 09:33:39;990405515 ();
FP-1;Insert data user;17/01/2013 09:34:13;981391369 ();
FP-1;Insert data user;17/01/2013 09:34:43;965256777 ();
FP-1;Hapus data user;17/01/2013 09:34:54; (hapus);
;Ubah data;17/01/2013 09:35:43; (268);
;Ubah data;17/01/2013 09:35:52; (269);
;Ubah data pegawai;17/01/2013 09:38:24; (487);
FP-1;Ubah data user;17/01/2013 09:39:05;981397463 ();
;Ubah data pegawai;17/01/2013 09:41:12; (517);
;Insert data pegawai;17/01/2013 09:41:58; ();
FP-1;Ubah data user;17/01/2013 09:42:23;983390873 ();
FP-1;Insert data user;17/01/2013 09:43:23;963259179 ();
;Ubah data;17/01/2013 09:43:59; (207);
;Ubah data kegiatan;17/01/2013 09:47:26; (9496);
;Ubah data kegiatan;17/01/2013 09:47:52; (9497);
;Ubah data kegiatan;17/01/2013 09:48:10; (9522);
;Ubah data kegiatan;17/01/2013 09:48:27; (9523);
;Ubah data kegiatan;17/01/2013 09:48:45; (9524);
;Ubah data kegiatan;17/01/2013 09:49:07; (9525);
