pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 00:30:39; di lokasi  dengan id_pengadaan (112);
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 00:33:10; di lokasi  dengan id_pengadaan (112);
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 00:34:08; di lokasi  dengan id_pengadaan (112);
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 00:35:44; di lokasi  dengan id_pengadaan (112);
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 112;30/01/2014 00:54:29; untuk peruntukan 24;
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 112;30/01/2014 00:57:00; untuk peruntukan 24;
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 112;30/01/2014 01:01:37; untuk peruntukan 24;
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 01:03:32; di lokasi  dengan id_pengadaan (107);
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 107;30/01/2014 01:04:29; untuk peruntukan 24;
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 01:06:38; di lokasi  dengan id_pengadaan (103);
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 103;30/01/2014 01:08:40; untuk peruntukan 24;
pos_1;Insert Data Jadwal Pengadaan ;30/01/2014 01:12:17; di lokasi  dengan id_pengadaan (99);
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 99;30/01/2014 01:12:31; untuk peruntukan 24;
pos_1;Ubah Data Jadwal Pengadaan dengan id_pengadaan 99;30/01/2014 01:13:15; untuk peruntukan 24;
pos_1;Insert Data Syarat Pengadaan ;30/01/2014 02:24:13; di lokasi  dengan id_pengadaan ();
pos_1;Insert Data Syarat Pengadaan ;30/01/2014 02:28:02; di lokasi  dengan id_pengadaan ();
pos_1;Insert Data Syarat Pengadaan ;30/01/2014 02:36:41; di lokasi  dengan id_pengadaan ();
pos_1;Insert Data Syarat Pengadaan ;30/01/2014 02:38:12; di lokasi  dengan id_pengadaan ();
pos_1;Ubah Data Syarat Pengadaan ;30/01/2014 02:49:33; di lokasi  dengan id_pengadaan ();
pos_1;Insert Data Ambil Dokumen ;30/01/2014 09:25:12; di lokasi  dengan id_pengadaan ();
