972332303;Pembatalan Bukti Potong 000001/40000/0113;15/02/2013 08:45:36; id : (647);
972332303;Pembatalan Bukti Potong 000002/40000/0113;15/02/2013 08:46:43; id : (648);
972332303;Pembatalan Bukti Potong 000003/40000/0113;15/02/2013 08:46:52; id : (649);
972332303;Pembatalan Bukti Potong 000004/40000/0113;15/02/2013 08:47:25; id : (650);
972332303;Pembatalan Bukti Potong 000005/40000/0113;15/02/2013 08:47:31; id : (651);
;Ubah Status Verifikasi;15/02/2013 08:53:40; (30365);
;Ubah Status Verifikasi;15/02/2013 08:53:46; (30751);
;Ubah Status Verifikasi;15/02/2013 08:53:56; (30971);
;Ubah Status Verifikasi;15/02/2013 08:54:07; (30993);
;Ubah Status Verifikasi;15/02/2013 08:54:17; (31082);
;Ubah Status Verifikasi;15/02/2013 08:54:31; (31084);
;Ubah Status Verifikasi;15/02/2013 08:54:38; (31085);
;Ubah Status Verifikasi;15/02/2013 08:54:43; (31086);
;Ubah Status Verifikasi;15/02/2013 08:54:49; (31087);
;Ubah Status Verifikasi;15/02/2013 08:54:55; (31088);
;Ubah Status Verifikasi;15/02/2013 08:55:03; (31608);
;Ubah Status Verifikasi;15/02/2013 08:55:10; (31756);
;Ubah Status Verifikasi;15/02/2013 08:55:16; (32558);
;Ubah Status Verifikasi;15/02/2013 08:55:21; (32565);
;Ubah Status Verifikasi;15/02/2013 08:55:26; (32566);
967308811;Ubah Data Faktur Penjualan 030.000-13.00002577;15/02/2013 08:56:57; di Nopend 31300 dengan id (32845);
;Ubah Status Verifikasi;15/02/2013 08:57:20; (31591);
;Ubah Status Verifikasi;15/02/2013 08:57:25; (31628);
;Ubah Status Verifikasi;15/02/2013 08:57:30; (31648);
;Ubah Status Verifikasi;15/02/2013 08:57:35; (31677);
;Ubah Status Verifikasi;15/02/2013 08:57:40; (31683);
;Ubah Status Verifikasi;15/02/2013 08:57:46; (31684);
;Ubah Status Verifikasi;15/02/2013 08:57:50; (31685);
;Ubah Status Verifikasi;15/02/2013 08:57:57; (31844);
;Ubah Status Verifikasi;15/02/2013 08:58:03; (31845);
;Ubah Status Verifikasi;15/02/2013 08:58:09; (31846);
;Ubah Status Verifikasi;15/02/2013 08:58:13; (31982);
;Ubah Status Verifikasi;15/02/2013 08:59:17; (30493);
;Ubah Status Verifikasi;15/02/2013 08:59:21; (31760);
;Ubah Status Verifikasi;15/02/2013 08:59:26; (31761);
;Ubah Status Verifikasi;15/02/2013 08:59:30; (31763);
;Ubah Status Verifikasi;15/02/2013 08:59:34; (31765);
;Ubah Status Verifikasi;15/02/2013 08:59:38; (31767);
;Ubah Status Verifikasi;15/02/2013 08:59:43; (31768);
;Ubah Status Verifikasi;15/02/2013 09:01:19; (30773);
;Ubah Status Verifikasi;15/02/2013 09:01:28; (30780);
;Ubah Status Verifikasi;15/02/2013 09:01:38; (30783);
;Ubah Status Verifikasi;15/02/2013 09:01:49; (30787);
;Ubah Status Verifikasi;15/02/2013 09:01:59; (30788);
;Ubah Status Verifikasi;15/02/2013 09:02:06; (30789);
;Ubah Status Verifikasi;15/02/2013 09:02:11; (30935);
;Ubah Status Verifikasi;15/02/2013 09:02:18; (30912);
;Ubah Status Verifikasi;15/02/2013 09:02:24; (30911);
;Ubah Status Verifikasi;15/02/2013 09:02:29; (30854);
;Ubah Status Verifikasi;15/02/2013 09:02:36; (30852);
;Ubah Status Verifikasi;15/02/2013 09:02:45; (30851);
;Ubah Status Verifikasi;15/02/2013 09:02:57; (30792);
;Ubah Status Verifikasi;15/02/2013 09:03:08; (30803);
;Ubah Status Verifikasi;15/02/2013 09:03:19; (30828);
;Ubah Status Verifikasi;15/02/2013 09:03:26; (30816);
;Ubah Status Verifikasi;15/02/2013 09:03:31; (30810);
;Ubah Status Verifikasi;15/02/2013 09:03:37; (30807);
;Ubah Status Verifikasi;15/02/2013 09:03:42; (30805);
;Ubah Status Verifikasi;15/02/2013 09:03:47; (30849);
;Ubah Status Verifikasi;15/02/2013 09:03:54; (30848);
;Ubah Status Verifikasi;15/02/2013 09:04:12; (30846);
;Ubah Status Verifikasi;15/02/2013 09:04:22; (30845);
;Ubah Status Verifikasi;15/02/2013 09:06:43; (32531);
;Ubah Status Verifikasi;15/02/2013 09:06:53; (32533);
;Ubah Status Verifikasi;15/02/2013 09:07:39; (32535);
;Ubah Status Verifikasi;15/02/2013 09:07:45; (32538);
;Ubah Status Verifikasi;15/02/2013 09:07:51; (32542);
;Ubah Status Verifikasi;15/02/2013 09:09:24; (32544);
;Ubah Status Verifikasi;15/02/2013 09:09:35; (32545);
;Ubah Status Verifikasi;15/02/2013 09:09:45; (32549);
;Ubah Status Verifikasi;15/02/2013 09:10:03; (32550);
;Ubah Status Verifikasi;15/02/2013 09:10:08; (32557);
;Ubah Status Verifikasi;15/02/2013 09:10:12; (32556);
;Ubah Status Verifikasi;15/02/2013 09:10:17; (32555);
;Ubah Status Verifikasi;15/02/2013 09:10:22; (32554);
;Ubah Status Verifikasi;15/02/2013 09:10:26; (32553);
;Ubah Status Verifikasi;15/02/2013 09:10:32; (32552);
;Ubah Status Verifikasi;15/02/2013 09:10:36; (32551);
;Ubah Status Verifikasi;15/02/2013 09:11:05; (30668);
;Ubah Status Verifikasi;15/02/2013 09:11:46; (30669);
;Ubah Status Verifikasi;15/02/2013 09:11:56; (30681);
;Ubah Status Verifikasi;15/02/2013 09:12:10; (30679);
;Ubah Status Verifikasi;15/02/2013 09:12:18; (30675);
;Ubah Status Verifikasi;15/02/2013 09:12:25; (30671);
;Ubah Status Verifikasi;15/02/2013 09:12:32; (30677);
;Ubah Status Verifikasi;15/02/2013 09:12:36; (30676);
;Ubah Status Verifikasi;15/02/2013 09:13:02; (30742);
;Ubah Status Verifikasi;15/02/2013 09:13:11; (30746);
;Ubah Status Verifikasi;15/02/2013 09:13:21; (30896);
;Ubah Status Verifikasi;15/02/2013 09:13:25; (30900);
;Ubah Status Verifikasi;15/02/2013 09:13:33; (30899);
;Ubah Status Verifikasi;15/02/2013 09:13:42; (30898);
;Ubah Status Verifikasi;15/02/2013 09:13:51; (30897);
;Ubah Status Verifikasi;15/02/2013 09:14:12; (32106);
;Ubah Status Verifikasi;15/02/2013 09:14:16; (32107);
;Ubah Status Verifikasi;15/02/2013 09:14:21; (32108);
;Ubah Status Verifikasi;15/02/2013 09:14:25; (32109);
;Ubah Status Verifikasi;15/02/2013 09:14:35; (32131);
;Ubah Status Verifikasi;15/02/2013 09:14:39; (32130);
;Ubah Status Verifikasi;15/02/2013 09:14:44; (32127);
;Ubah Status Verifikasi;15/02/2013 09:15:11; (31963);
;Ubah Status Verifikasi;15/02/2013 09:15:52; (31965);
;Ubah Status Verifikasi;15/02/2013 09:15:57; (31974);
;Ubah Status Verifikasi;15/02/2013 09:16:02; (31972);
;Ubah Status Verifikasi;15/02/2013 09:16:08; (31973);
;Ubah Status Verifikasi;15/02/2013 09:16:12; (31966);
;Ubah Status Verifikasi;15/02/2013 09:16:16; (31969);
;Ubah Status Verifikasi;15/02/2013 09:16:21; (31970);
;Ubah Status Verifikasi;15/02/2013 09:16:25; (31968);
;Ubah Status Verifikasi;15/02/2013 09:16:29; (31971);
;Ubah Status Verifikasi;15/02/2013 09:16:33; (31967);
;Ubah Status Verifikasi;15/02/2013 09:17:09; (31499);
;Ubah Status Verifikasi;15/02/2013 09:19:08; (31504);
;Ubah Status Verifikasi;15/02/2013 09:19:12; (32083);
;Ubah Status Verifikasi;15/02/2013 09:19:18; (32081);
;Ubah Status Verifikasi;15/02/2013 09:19:22; (32078);
;Ubah Status Verifikasi;15/02/2013 09:19:27; (31539);
;Ubah Status Verifikasi;15/02/2013 09:19:31; (31528);
;Ubah Status Verifikasi;15/02/2013 09:19:41; (31529);
;Ubah Status Verifikasi;15/02/2013 09:19:53; (31530);
;Ubah Status Verifikasi;15/02/2013 09:19:58; (31536);
;Ubah Status Verifikasi;15/02/2013 09:20:04; (31532);
;Ubah Status Verifikasi;15/02/2013 09:20:09; (31535);
;Ubah Status Verifikasi;15/02/2013 09:20:13; (31534);
;Ubah Status Verifikasi;15/02/2013 09:20:48; (31880);
;Ubah Status Verifikasi;15/02/2013 09:20:51; (31892);
;Ubah Status Verifikasi;15/02/2013 09:20:55; (31885);
;Ubah Status Verifikasi;15/02/2013 09:20:59; (31890);
;Ubah Status Verifikasi;15/02/2013 09:21:04; (31882);
964195665;Entry bukti Lapor SPT;15/02/2013 09:21:06; di Nopend 12000 dengan id ();
;Ubah Status Verifikasi;15/02/2013 09:21:07; (31891);
;Ubah Status Verifikasi;15/02/2013 09:21:12; (31888);
;Ubah Status Verifikasi;15/02/2013 09:22:43; (32631);
;Ubah Status Verifikasi;15/02/2013 09:22:51; (30605);
;Ubah Status Verifikasi;15/02/2013 09:23:00; (32628);
;Ubah Status Verifikasi;15/02/2013 09:23:12; (30661);
;Ubah Status Verifikasi;15/02/2013 09:23:29; (30664);
;Ubah Status Verifikasi;15/02/2013 09:23:36; (30942);
;Ubah Status Verifikasi;15/02/2013 09:23:44; (30702);
;Ubah Status Verifikasi;15/02/2013 09:24:53; (30554);
;Ubah Status Verifikasi;15/02/2013 09:24:57; (30556);
;Ubah Status Verifikasi;15/02/2013 09:25:01; (30557);
;Ubah Status Verifikasi;15/02/2013 09:25:12; (32233);
;Ubah Status Verifikasi;15/02/2013 09:25:16; (32239);
;Ubah Status Verifikasi;15/02/2013 09:25:20; (32246);
;Ubah Status Verifikasi;15/02/2013 09:25:23; (32250);
