;Ubah data Pkp AW Hutang Pajak;18/02/2013 07:20:31; (1495);
;Ubah Status Verifikasi;18/02/2013 08:08:57; (32881);
;Ubah Status Verifikasi;18/02/2013 08:09:18; (32882);
;Insert data pegawai;18/02/2013 08:47:30; ();
FP-1;Ubah data user;18/02/2013 08:47:55;985391431 ();
FP-1;Insert data user;18/02/2013 08:48:27;973358245 ();
;Insert data;18/02/2013 08:51:09; ();
;Ubah Status Verifikasi;18/02/2013 08:56:33; (10807);
;Ubah Status Verifikasi;18/02/2013 08:56:39; (10772);
965210042;Insert Data Faktur Penjualan dgn Pemebeli PT AMERTA INDAH OTSUKA;18/02/2013 09:17:14; di Nopend 67100;
;Insert data perusahaan;18/02/2013 09:22:03; ();
971323781;Insert Data Faktur Penjualan dgn Pemebeli PT. PURA BARUTAMA;18/02/2013 09:22:36; di Nopend 59300;
;Insert data perusahaan;18/02/2013 09:23:18; ();
;Insert data perusahaan;18/02/2013 09:25:00; ();
965210042;Ubah Data Faktur Penjualan 040.000-13.00002615;18/02/2013 09:25:24; di Nopend 67100 dengan id (32883);
965210042;Ubah Data Faktur Penjualan 040.000-13.00002615;18/02/2013 09:25:53; di Nopend 67100 dengan id (32883);
;Insert data perusahaan;18/02/2013 09:27:15; ();
;Insert data perusahaan;18/02/2013 09:30:40; ();
;Insert data perusahaan;18/02/2013 09:33:20; ();
;Ubah data perusahaan;18/02/2013 09:34:36; ();
;Insert data perusahaan;18/02/2013 09:37:33; ();
;Insert data perusahaan;18/02/2013 09:39:39; ();
;Ubah data perusahaan;18/02/2013 09:40:37; ();
;Ubah Status Verifikasi;18/02/2013 09:43:34; (32809);
;Ubah Status Verifikasi;18/02/2013 09:43:47; (32810);
;Ubah Status Verifikasi;18/02/2013 09:43:54; (32884);
;Ubah data perusahaan;18/02/2013 09:44:49; ();
982385742;Entry bukti Lapor SPT;18/02/2013 10:03:29; di Nopend 99900 dengan id ();
;Insert data;18/02/2013 10:06:39; ();
;Insert data;18/02/2013 10:30:57; ();
972327575;Terkait BiayaCV Mutiara;18/02/2013 10:40:29; di Nopend 30000;
972327575;Terkait BiayaPT SERASI AUTORAYA;18/02/2013 11:04:38; di Nopend 30000;
;Insert data;18/02/2013 11:12:46; ();
;Insert data;18/02/2013 11:19:32; ();
;Ubah data;18/02/2013 11:20:24; (10859);
;Ubah data;18/02/2013 11:21:35; (10867);
;Insert data;18/02/2013 11:21:58; ();
;Insert data;18/02/2013 11:23:17; ();
;Insert data;18/02/2013 11:23:44; ();
;Ubah data;18/02/2013 11:23:54; (10859);
;Insert data;18/02/2013 11:25:49; ();
;Insert data;18/02/2013 11:26:00; ();
;Ubah data;18/02/2013 11:26:13; (10872);
;Ubah data;18/02/2013 11:26:36; (10867);
;Ubah data;18/02/2013 11:26:56; (10871);
;Insert data;18/02/2013 11:28:19; ();
;Insert data;18/02/2013 11:28:46; ();
;Insert data;18/02/2013 11:30:45; ();
;Insert data;18/02/2013 11:32:40; ();
;Insert data;18/02/2013 11:32:59; ();
;Insert data;18/02/2013 11:34:23; ();
;Insert data;18/02/2013 11:34:44; ();
;Insert data;18/02/2013 11:36:04; ();
970333225;Terkait Pendapatan0004/001/I/2013;18/02/2013 12:02:07; di Nopend 59300 dengan id (783);
970333225;Pembatalan Bukti Potong 0004/001/I/2013;18/02/2013 12:02:22; id : (783);
984390674;Terkait Daftarbuktipotong;18/02/2013 12:07:35; di Nopend 40005 dengan id ();
967363548;Terkait Daftarbuktipotong;18/02/2013 12:16:36; di Nopend 40005 dengan id ();
971323781;Terkait Daftarbuktipotong;18/02/2013 12:23:27; di Nopend 59300 dengan id ();
971310956;Terkait PendapatanKOPERASI NUSANTARA;18/02/2013 12:51:33; di Nopend 58100;
;Insert data;18/02/2013 12:53:29; ();
;Insert data;18/02/2013 13:12:04; ();
;Insert data;18/02/2013 13:13:53; ();
;Insert data;18/02/2013 13:15:35; ();
;Insert data;18/02/2013 13:17:19; ();
984390674;Terkait Ssppph23biaya ;18/02/2013 13:55:32; di Nopend 40005 dengan id ();
984390674;Terkait Ssppph23biaya ;18/02/2013 13:59:22; di Nopend 40005 dengan id ();
;Ubah Status Verifikasi;18/02/2013 14:06:25; (26994);
;Ubah Status Verifikasi;18/02/2013 14:07:10; (26994);
;Ubah data Gunggung;18/02/2013 14:10:31; ();
960170017;Terkait BiayaM ROFI\'I;18/02/2013 14:49:48; di Nopend 61400;
986392649;Terkait PendapatanKOPERASI NUSANTARA;18/02/2013 14:57:17; di Nopend 75500;
;Ubah Status Verifikasi;18/02/2013 15:02:58; (951);
984390674;Terkait Biaya;18/02/2013 16:03:16; di Nopend 40005 dengan id (641);
;Insert data;18/02/2013 17:56:32; ();
;Insert data;18/02/2013 17:58:17; ();
9673558622;Terkait BiayaAli Nasikin;18/02/2013 18:13:01; di Nopend 10004;
9673558622;Terkait BiayaAli Nasikin;18/02/2013 18:15:00; di Nopend 10004;
9673558622;Terkait BiayaBAYU;18/02/2013 18:20:25; di Nopend 10004;
