;Hapus data otoritasinternal user;25/03/2014 11:47:25; (491);
;Insert data;25/03/2014 11:48:41;Cicih Carnasih, SAP ();
;Insert data;25/03/2014 11:50:09;Cicih Carnasih, SAP ();
;Insert data;25/03/2014 11:57:54;Cicih Carnasih, SAP ();
;Insert data;25/03/2014 12:00:15;Cicih Carnasih, SAP ();
;Ubah data;25/03/2014 12:03:23;Cicih Carnasih, SAP (492);
;Insert data;25/03/2014 12:05:00;Ade Komarudin, ();
;Ubah data;25/03/2014 12:05:17;Cicih Carnasih, SAP (492);
;Ubah data;25/03/2014 12:05:27;Ade Komarudin, (493);
;Ubah data;25/03/2014 12:05:49;Ipur Purwatiningsih, (50);
;Ubah data;25/03/2014 12:06:09;Maulana Syam, A.Md (52);
;Ubah data;25/03/2014 12:07:08;Dr. Yoni Fuadah Syukriani, dr., Sp.F., DFM (487);
;Ubah data;25/03/2014 12:07:27;Prof. Dr. Firman F. Wirakusumah, dr., SpOG-K, Ph.D (35);
;Ubah data;25/03/2014 13:02:11; ();
;Ubah data;25/03/2014 13:06:37; ();
;Verifikasi Penerimaan;25/03/2014 13:14:20; (14);
;Ubah data;25/03/2014 13:36:16;Pengaruh Pendidikan Kesehatan Gigi dan Mulut Terhadap Teknik Menyikat Gigi Pada Tunanetra (14);
;Ubah data;25/03/2014 13:43:46;Pengaruh Pendidikan Kesehatan Gigi dan Mulut Terhadap Teknik Menyikat Gigi Pada Tunanetra (14);
;Verifikasi Penerimaan;25/03/2014 13:55:41; (14);
;Verifikasi Penerimaan;25/03/2014 13:56:08; (14);
;Verifikasi Penerimaan;25/03/2014 13:57:11; (14);
;Verifikasi Penerimaan;25/03/2014 13:57:45; (14);
;Verifikasi Penerimaan;25/03/2014 13:58:14; (14);
;Verifikasi Penerimaan;25/03/2014 14:06:17; (14);
;Verifikasi Penerimaan;25/03/2014 14:07:05; (14);
;Verifikasi Penerimaan;25/03/2014 14:07:23; (14);
;Verifikasi Penerimaan;25/03/2014 14:08:13; (14);
;Verifikasi Penerimaan;25/03/2014 14:09:09; (14);
;Verifikasi Penerimaan;25/03/2014 14:10:34; (14);
;Verifikasi Penerimaan;25/03/2014 14:13:00; (14);
;Verifikasi Penerimaan;25/03/2014 14:22:28; (14);
;Verifikasi Penerimaan;25/03/2014 14:23:28; (14);
;Verifikasi Penerimaan;25/03/2014 14:25:44; (14);
;Verifikasi Penerimaan;25/03/2014 14:28:10; (14);
;Verifikasi Penerimaan;25/03/2014 14:29:09; (14);
;Verifikasi Penerimaan;25/03/2014 14:38:04; (14);
;Verifikasi Penerimaan;25/03/2014 14:38:10; (14);
;Verifikasi Penerimaan;25/03/2014 14:38:17; (14);
;Ubah data;25/03/2014 15:15:07; (14);
;Ubah data;25/03/2014 15:16:43; (14);
;Ubah data;25/03/2014 15:17:37; (14);
;Ubah data;25/03/2014 15:18:24; (14);
;Ubah data;25/03/2014 15:19:05; (14);
;Ubah data;25/03/2014 15:20:15; (14);
;Ubah data;25/03/2014 15:47:49; (14);
;Ubah data;25/03/2014 15:53:43; (14);
;Ubah data;25/03/2014 15:58:12; (14);
;Ubah data;25/03/2014 16:22:36; (14);
;Ubah data;25/03/2014 16:27:20; (14);
;Ubah data;25/03/2014 16:27:43; (14);
;Ubah data;25/03/2014 16:28:35; (14);
;Ubah data;25/03/2014 16:29:08; (14);
