FP-1;Insert data user;11/04/2013 12:27:02;view_area11 ();
FP-1;Ubah data user;11/04/2013 12:28:28;view_area11 ();
;Ubah data;11/04/2013 12:36:47; (31);
;Ubah data;11/04/2013 12:37:27; (53);
;Ubah data;11/04/2013 12:37:57; (73);
;Ubah data;11/04/2013 12:46:16; (2);
;Ubah data;11/04/2013 12:46:34; (193);
;Ubah data;11/04/2013 12:46:53; (93);
;Ubah data;11/04/2013 12:47:32; (121);
;Ubah data;11/04/2013 12:48:03; (159);
;Ubah data;11/04/2013 12:48:24; (215);
;Ubah data;11/04/2013 12:49:07; (231);
;Ubah data;11/04/2013 12:49:27; (255);
