967363548;Terkait BiayaCV. PUTRATAMA;15/05/2013 10:34:03; di Nopend 40005;
;Ubah data rangewaktu;15/05/2013 11:05:12; (22);
;Ubah data rangewaktu;15/05/2013 11:06:40; (18);
;Ubah data rangewaktu;15/05/2013 11:07:00; (23);
;Ubah Status Verifikasi;15/05/2013 11:07:33; (2259);
;Insert data perusahaan;15/05/2013 11:20:50; ();
;Hapus data perusahaan;15/05/2013 11:32:10; (hapus);
;Insert data;15/05/2013 11:33:39; ();
;Insert data;15/05/2013 11:35:35; ();
;Ubah data;15/05/2013 11:35:59; (12134);
;Insert data;15/05/2013 11:36:44; ();
;Ubah data;15/05/2013 11:37:25; (12134);
;Insert data;15/05/2013 11:42:52; ();
965282417;Insert Data Faktur Penjualan dgn Pemebeli CV MITRA GEMILANG PERSADA;15/05/2013 11:44:20; di Nopend 90000;
;Ubah data;15/05/2013 11:45:39; (12136);
;Insert data;15/05/2013 11:46:15; ();
965282417;Insert Data Faktur Penjualan dgn Pemebeli BTN  ;15/05/2013 11:48:12; di Nopend 90000;
987392347;Terkait Ssppph23biaya ;15/05/2013 11:48:27; di Nopend 76100 dengan id ();
;Ubah data;15/05/2013 11:57:10; (12131);
;Ubah data rangewaktu;15/05/2013 12:08:49; (22);
;Ubah data rangewaktu;15/05/2013 12:13:38; (22);
FP-1;Ubah data user;15/05/2013 12:17:27;987392347 ();
;Insert data;15/05/2013 12:24:45; ();
;Insert data;15/05/2013 12:43:24; ();
;Insert data;15/05/2013 12:49:21; ();
;Insert data;15/05/2013 12:49:25; ();
;Ubah data;15/05/2013 12:51:15; (12138);
;Insert data;15/05/2013 12:51:59; ();
;Insert data;15/05/2013 13:01:48; ();
;Insert data;15/05/2013 13:10:25; ();
;Ubah data;15/05/2013 13:11:18; (12130);
FP-1;Ubah data user;15/05/2013 13:16:07;971365283 ();
;Ubah data;15/05/2013 14:04:58; (12138);
967259046;Terkait PendapatanBANK BRI  CAB. PUTRI  HIJAU  MEDAN;15/05/2013 14:14:40; di Nopend 20000;
FP-1;Ubah data user;15/05/2013 14:17:29;9663010792 ();
;Ubah data jnstransaksi;15/05/2013 14:26:29; (696);
;Insert data;15/05/2013 14:29:13; ();
;Insert data;15/05/2013 14:33:01; ();
;Ubah data rangewaktu;15/05/2013 14:47:26; (22);
972332303;Terkait BiayaPT INTI (PERSERO);15/05/2013 14:52:53; di Nopend 40000;
972332303; Insert/Update SPT PPh23 Nihil Masa 4-2013;15/05/2013 14:57:28; di Nopend 40000 dengan id ();
971365283; Insert/Update SPT PPh23 Nihil Masa 4-2013;15/05/2013 15:02:00; di Nopend 10009 dengan id ();
972332303;Insert Data Faktur Penjualan dgn Pemebeli PT DAPENSI ABADI ;15/05/2013 15:16:47; di Nopend 40000;
972332303;Insert Data Faktur Penjualan dgn Pemebeli PT CABE RAWIT BANDUNG;15/05/2013 15:21:24; di Nopend 40000;
;Insert data;15/05/2013 15:23:58; ();
;Insert data;15/05/2013 15:25:21; ();
;Ubah data Gunggung;15/05/2013 15:26:54; ();
;Insert data;15/05/2013 15:31:56; ();
;Insert data;15/05/2013 15:35:13; ();
982390786;Terkait Biayanina;15/05/2013 15:41:47; di Nopend 46200;
;Ubah data;15/05/2013 15:44:54; (12136);
987392347;Bukti Setor SPT Masa PPH 23;15/05/2013 15:45:02; di Nopend 76100 dengan id ();
;Ubah data rangewaktu;15/05/2013 15:47:45; (22);
FP-1;Ubah data user;15/05/2013 15:50:23;971332058 ();
;Ubah Status Verifikasi;15/05/2013 15:50:58; (2257);
;Ubah Status Verifikasi;15/05/2013 15:51:03; (2258);
987392347;Terkait Daftarbuktipotong;15/05/2013 15:51:50; di Nopend 76100 dengan id ();
970336135;Terkait PendapatanCENTRATAMA NASIONAL BANK;15/05/2013 16:06:18; di Nopend 80000;
982390786;Terkait PendapatanPT. Daya Anugrah Mandiri;15/05/2013 16:07:26; di Nopend 46200;
982390786;Terkait PendapatanPT. Bank BTPN Kantor Cabang Pembantu Ciamis;15/05/2013 16:08:05; di Nopend 46200;
982390786;Terkait PendapatanPT. Bahana Cahaya Sejati;15/05/2013 16:08:59; di Nopend 46200;
987392347;Terkait PendapatanLOTTE SHOOPING INDONESIA;15/05/2013 16:09:59; di Nopend 76100;
982390786;Terkait PendapatanKoperasi PRIMKOPPABRI Cijeungjing;15/05/2013 16:11:31; di Nopend 46200;
982390786;Terkait Pendapatan ;15/05/2013 16:11:56; di Nopend 46200 dengan id (4422);
987392347;Terkait Pendapatan;15/05/2013 16:29:37; di Nopend 76100 dengan id (4424);
982390786;Terkait PendapatanPT. Daya Anugrah Mandiri;15/05/2013 16:36:40; di Nopend 46200;
982390786;Terkait Pendapatan ;15/05/2013 16:37:39; di Nopend 46200 dengan id (4426);
982390786;Terkait Pendapatan ;15/05/2013 16:51:37; di Nopend 46200 dengan id (4426);
