;Insert data pegawai;26/09/2012 10:29:42; ();
;Ubah data pegawai;26/09/2012 10:30:03; (634);
971361368;Insert data user;26/09/2012 10:31:09;esra ();
971361368;Ubah data user;26/09/2012 10:32:22;968275989 ();
971361368;Ubah data user;26/09/2012 11:03:03;973346735 ();
971361368;Ubah data user;26/09/2012 11:03:47;970331745 ();
971361368;Ubah data user;26/09/2012 11:06:55;970331745 ();
;Ubah data rangewaktu;26/09/2012 11:08:47; (8);
;Ubah data rangewaktu;26/09/2012 11:09:04; (5);
;Ubah data rangewaktu;26/09/2012 11:09:44; (1);
973346735;Insert Data Faktur Penjualan dgn Pemebeli PT BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;26/09/2012 11:11:10; di Nopend 25000;
973346735;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK RAKYAT INDONESIA (PERSERO) Tbk;26/09/2012 11:12:16; di Nopend 25000;
973346735;Insert Data Faktur Penjualan dgn Pemebeli PT TASPEN (PERSERO) CABANG PADANG;26/09/2012 11:15:03; di Nopend 25000;
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:18:33; di Nopend 25000 dengan id (8532);
973346735;Insert Data Faktur Penjualan dgn Pemebeli PT BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;26/09/2012 11:24:11; di Nopend 25000;
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:31:37; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:35:51; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:37:29; di Nopend 25000 dengan id (8532);
972300508;Insert Data Faktur Penjualan dgn Pemebeli BANK BRI  CAB. ISKANDAR MUDA;26/09/2012 11:37:36; di Nopend 20000;
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:38:27; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:40:11; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:40:48; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:41:35; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:42:23; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:42:52; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 11:44:00; di Nopend 25000 dengan id (8532);
973346735;Pembatalan Faktur Pajak Keluaran 030.000-12.00007239;26/09/2012 11:49:36; id : (8534);
;Insert data;26/09/2012 11:50:19; ();
;Insert data;26/09/2012 11:53:19; ();
;Insert data jnstransaksi;26/09/2012 11:54:07; ();
;Insert data jnstransaksi;26/09/2012 11:58:40; ();
;Insert data;26/09/2012 11:59:42; ();
;Insert data jnstransaksi;26/09/2012 12:02:44; ();
;Insert data;26/09/2012 12:24:28; ();
;Ubah data;26/09/2012 12:27:03; (2419);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:30:38; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:31:10; di Nopend 25000 dengan id (8532);
;Insert data;26/09/2012 12:33:39; ();
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:33:56; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:34:28; di Nopend 25000 dengan id (8532);
;Insert data;26/09/2012 12:34:44; ();
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:34:58; di Nopend 25000 dengan id (8532);
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:35:10; di Nopend 25000 dengan id (8532);
;Ubah data Gunggung;26/09/2012 12:35:33; ();
973346735;Ubah Data Faktur Penjualan 010.000-12.00007237;26/09/2012 12:37:57; di Nopend 25000 dengan id (8532);
;Insert data;26/09/2012 12:48:12; ();
;Insert data;26/09/2012 13:03:54; ();
;Insert data jnstransaksi;26/09/2012 13:08:39; ();
;Insert data;26/09/2012 13:17:00; ();
;Insert data;26/09/2012 13:18:40; ();
;Ubah data;26/09/2012 13:20:49; (2423);
;Ubah Status Verifikasi;26/09/2012 13:34:53; (8533);
;Ubah Status Verifikasi;26/09/2012 13:34:59; (8534);
;Ubah Status Verifikasi;26/09/2012 13:35:29; (2419);
;Ubah Status Verifikasi;26/09/2012 13:35:35; (2421);
972300508;Terkait BiayaBANK BRI  CAB. ISKANDAR MUDA;26/09/2012 13:36:12; di Nopend 20000;
;Ubah Status Verifikasi;26/09/2012 13:37:55; (5442);
;Ubah Status Verifikasi;26/09/2012 13:38:04; (5429);
;Ubah Status Verifikasi;26/09/2012 13:38:13; (5430);
;Ubah Status Verifikasi;26/09/2012 13:38:19; (5431);
;Ubah Status Verifikasi;26/09/2012 13:39:21; (8535);
972300508;Terkait BiayaBANK BRI  CAB. ISKANDAR MUDA;26/09/2012 13:39:23; di Nopend 20000;
972300508;Terkait BiayaBANK BRI  CAB. PUTRI  HIJAU  MEDAN;26/09/2012 13:43:55; di Nopend 20000;
;Hapus data jnstransaksi;26/09/2012 14:34:34; (575);
;Ubah data jnstransaksi;26/09/2012 14:35:11; (591);
;Hapus data jnstransaksi;26/09/2012 14:35:23; (592);
972300508;Terkait PendapatanBANK BRI  CAB. PUTRI  HIJAU  MEDAN;26/09/2012 14:37:36; di Nopend 20000;
;Ubah data rangewaktu;26/09/2012 14:41:34; (11);
973346735;Terkait BiayaPT BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;26/09/2012 14:44:16; di Nopend 25000;
973346735;Terkait BiayaPD BPR BKK UNGARAN CAB BANYU BIRU;26/09/2012 14:48:23; di Nopend 25000;
;Insert data;26/09/2012 14:48:25; ();
;Insert data;26/09/2012 14:49:00; ();
;Insert data;26/09/2012 14:49:34; ();
973346735;Terkait Biaya;26/09/2012 14:50:18; di Nopend 25000 dengan id (15);
973346735;Terkait Biaya;26/09/2012 14:50:34; di Nopend 25000 dengan id (16);
;Insert data;26/09/2012 14:50:44; ();
;Insert data;26/09/2012 14:50:59; ();
;Insert data;26/09/2012 14:51:46; ();
;Insert data;26/09/2012 14:52:10; ();
;Insert data;26/09/2012 14:52:24; ();
;Insert data;26/09/2012 14:52:43; ();
;Insert data;26/09/2012 14:53:36; ();
;Insert data;26/09/2012 14:55:39; ();
;Insert data;26/09/2012 14:57:14; ();
973346735;Terkait BiayaPT. BANK RAKYAT INDONESIA (PERSERO) Tbk;26/09/2012 15:10:49; di Nopend 25000;
;Ubah data rangewaktu;26/09/2012 15:14:23; (11);
972346521;Terkait BiayaKOPERASI PEGAWAI KANTOR TUKAR POS LAUT TANJUNGPRIOK;26/09/2012 15:21:04; di Nopend 10900;
;Ubah data rangewaktu;26/09/2012 15:30:16; (11);
972326698;Terkait BiayaCIMB NIAGA PALEMBANG;26/09/2012 15:36:11; di Nopend 30000;
;Ubah data rangewaktu;26/09/2012 15:47:57; (16);
972326698;Terkait BiayaBANK BTPN PALEMBANG;26/09/2012 15:47:57; di Nopend 30000;
;Ubah data rangewaktu;26/09/2012 15:48:09; (16);
;Ubah data rangewaktu;26/09/2012 15:48:31; (11);
973346735;Terkait BiayaPT BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;26/09/2012 15:49:42; di Nopend 25000;
;Ubah data rangewaktu;26/09/2012 15:50:49; (13);
973346735;Terkait PendapatanPT TASPEN (PERSERO) CABANG PADANG;26/09/2012 15:52:05; di Nopend 25000;
973346735;Terkait PendapatanPT BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;26/09/2012 15:53:20; di Nopend 25000;
