97112345;Insert Data Faktur Penjualan dgn Pemebeli BTPN LENGKONG;16/10/2012 07:39:42; di Nopend 40000;
;Ubah data Entry Rekon PPh 23;16/10/2012 08:48:27; (6);
;Ubah data Gunggung;16/10/2012 10:16:26; ();
;Ubah data rangewaktu;16/10/2012 10:19:10; (16);
;Ubah data rangewaktu;16/10/2012 10:19:47; (8);
;Ubah data rangewaktu;16/10/2012 10:24:01; (8);
97112345;Terkait Daftarbuktipotong;16/10/2012 10:45:57; di Nopend 40000 dengan id ();
97112345;Terkait Daftarbuktipotong;16/10/2012 10:46:27; di Nopend 40000 dengan id ();
;Ubah data rangewaktu;16/10/2012 10:55:57; (24);
;Ubah data rangewaktu;16/10/2012 10:56:17; (23);
;Ubah data rangewaktu;16/10/2012 10:56:36; (22);
;Ubah data rangewaktu;16/10/2012 10:56:56; (11);
;Ubah data rangewaktu;16/10/2012 10:57:18; (13);
;Ubah data rangewaktu;16/10/2012 10:57:36; (18);
;Ubah data rangewaktu;16/10/2012 10:57:56; (19);
;Insert data jnstransaksi;16/10/2012 11:59:24; ();
;Insert data korek5;16/10/2012 12:00:46; ();
;Insert data jnstransaksi;16/10/2012 12:01:15; ();
;Insert data korek5;16/10/2012 12:02:54; ();
;Insert data korek5;16/10/2012 12:04:42; ();
;Insert data korek5;16/10/2012 12:05:40; ();
;Insert data korek5;16/10/2012 12:08:27; ();
;Insert data korek5;16/10/2012 12:09:09; ();
;Insert data korek5;16/10/2012 12:10:12; ();
;Insert data korek5;16/10/2012 12:10:51; ();
;Insert data korek5;16/10/2012 12:28:35; ();
;Insert data korek5;16/10/2012 12:36:02; ();
;Insert data korek5;16/10/2012 12:43:43; ();
;Insert data korek5;16/10/2012 12:44:20; ();
;Insert data korek5;16/10/2012 12:45:26; ();
;Insert data korek5;16/10/2012 12:46:09; ();
;Insert data korek5;16/10/2012 12:46:45; ();
;Insert data korek5;16/10/2012 12:47:29; ();
;Insert data korek5;16/10/2012 12:49:09; ();
;Insert data korek5;16/10/2012 12:49:40; ();
;Insert data korek5;16/10/2012 12:50:34; ();
;Insert data korek5;16/10/2012 12:51:21; ();
;Insert data korek5;16/10/2012 12:52:22; ();
;Insert data korek5;16/10/2012 12:53:06; ();
;Insert data korek5;16/10/2012 12:53:53; ();
;Insert data korek5;16/10/2012 12:54:45; ();
;Insert data korek5;16/10/2012 12:55:18; ();
;Insert data korek5;16/10/2012 12:55:56; ();
;Insert data;16/10/2012 12:57:53; ();
;Insert data;16/10/2012 12:58:26; ();
;Insert data;16/10/2012 12:59:25; ();
;Insert data jnstransaksi;16/10/2012 15:09:06; ();
;Insert data jnstransaksi;16/10/2012 15:09:57; ();
;Insert data jnstransaksi;16/10/2012 15:10:58; ();
;Insert data jnstransaksi;16/10/2012 15:11:40; ();
;Insert data jnstransaksi;16/10/2012 15:12:16; ();
;Insert data jnstransaksi;16/10/2012 15:12:41; ();
;Insert data jnstransaksi;16/10/2012 15:13:24; ();
;Insert data jnstransaksi;16/10/2012 15:13:55; ();
;Insert data jnstransaksi;16/10/2012 15:14:19; ();
;Insert data jnstransaksi;16/10/2012 15:14:44; ();
;Insert data jnstransaksi;16/10/2012 15:15:07; ();
;Insert data jnstransaksi;16/10/2012 15:15:34; ();
;Insert data jnstransaksi;16/10/2012 15:15:59; ();
;Insert data jnstransaksi;16/10/2012 15:16:33; ();
;Insert data jnstransaksi;16/10/2012 15:17:21; ();
;Insert data jnstransaksi;16/10/2012 15:17:44; ();
;Ubah data jnstransaksi;16/10/2012 15:18:02; (617);
;Ubah data jnstransaksi;16/10/2012 15:18:33; (618);
;Insert data jnstransaksi;16/10/2012 15:19:01; ();
;Insert data jnstransaksi;16/10/2012 15:19:34; ();
;Insert data jnstransaksi;16/10/2012 15:20:41; ();
;Insert data jnstransaksi;16/10/2012 15:21:04; ();
;Insert data jnstransaksi;16/10/2012 15:21:52; ();
;Insert data jnstransaksi;16/10/2012 15:22:21; ();
;Insert data jnstransaksi;16/10/2012 15:23:13; ();
;Insert data jnstransaksi;16/10/2012 15:23:45; ();
;Insert data korek5;16/10/2012 15:24:36; ();
;Insert data korek5;16/10/2012 15:25:19; ();
;Insert data korek5;16/10/2012 15:25:56; ();
;Insert data jnstransaksi;16/10/2012 15:26:23; ();
;Insert data jnstransaksi;16/10/2012 15:27:02; ();
;Insert data jnstransaksi;16/10/2012 15:27:23; ();
;Insert data korek5;16/10/2012 15:56:47; ();
;Insert data korek5;16/10/2012 15:59:29; ();
;Insert data korek5;16/10/2012 16:01:27; ();
;Insert data korek5;16/10/2012 16:02:48; ();
;Insert data korek5;16/10/2012 16:03:27; ();
;Insert data korek5;16/10/2012 16:04:03; ();
;Insert data korek5;16/10/2012 16:05:26; ();
;Insert data korek5;16/10/2012 16:06:01; ();
;Insert data korek5;16/10/2012 16:06:47; ();
;Insert data korek5;16/10/2012 16:07:22; ();
;Insert data ;16/10/2012 16:09:05; ();
;Insert data;16/10/2012 16:09:58; ();
;Insert data korek5;16/10/2012 16:10:23; ();
;Insert data korek5;16/10/2012 16:41:27; ();
