981397165;Terkait Ssppph23biaya ;06/11/2012 05:52:49; di Nopend 84300 dengan id ();
971335886;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;06/11/2012 07:59:50; di Nopend 46100;
971335886;Ubah Data Faktur Penjualan 040.000-12.00007710;06/11/2012 08:02:39; di Nopend 46100 dengan id (9005);
969336391;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;06/11/2012 08:11:27; di Nopend 40600;
;Insert data;06/11/2012 08:17:25; ();
;Insert data;06/11/2012 08:18:48; ();
;Insert data;06/11/2012 08:18:49; ();
;Insert data;06/11/2012 08:18:50; ();
;Insert data;06/11/2012 08:18:51; ();
;Insert data;06/11/2012 08:18:53; ();
;Insert data;06/11/2012 08:18:54; ();
;Insert data;06/11/2012 08:18:57; ();
;Insert data;06/11/2012 08:18:59; ();
;Insert data;06/11/2012 08:19:03; ();
;Insert data;06/11/2012 08:19:12; ();
;Insert data;06/11/2012 08:19:15; ();
;Insert data;06/11/2012 08:19:17; ();
;Insert data;06/11/2012 08:19:42; ();
;Insert data;06/11/2012 08:22:09; ();
;Insert data;06/11/2012 08:22:42; ();
;Insert data;06/11/2012 08:22:48; ();
;Insert data;06/11/2012 08:22:55; ();
;Insert data;06/11/2012 08:23:11; ();
;Insert data;06/11/2012 08:23:41; ();
;Insert data;06/11/2012 08:23:48; ();
;Insert data;06/11/2012 08:23:49; ();
;Insert data;06/11/2012 08:23:50; ();
;Ubah data;06/11/2012 08:23:52; (2523);
;Insert data;06/11/2012 08:23:54; ();
;Insert data;06/11/2012 08:24:10; ();
;Ubah data;06/11/2012 08:24:14; (2522);
;Insert data;06/11/2012 08:24:16; ();
;Insert data;06/11/2012 08:24:21; ();
;Ubah data;06/11/2012 08:24:22; (2524);
;Insert data;06/11/2012 08:24:31; ();
;Insert data;06/11/2012 08:24:41; ();
;Ubah data;06/11/2012 08:24:41; (2523);
;Insert data;06/11/2012 08:24:48; ();
;Insert data;06/11/2012 08:25:03; ();
FP-1;Ubah status data user;06/11/2012 08:25:30;640 (1);
FP-1;Ubah status data user;06/11/2012 08:25:32;640 (0);
FP-1;Ubah status data user;06/11/2012 08:25:32;640 (1);
FP-1;Ubah status data user;06/11/2012 08:25:40;640 (1);
;Insert data;06/11/2012 08:25:41; ();
FP-1;Ubah data user;06/11/2012 08:25:57;amel ();
;Insert data;06/11/2012 08:28:05; ();
;Insert data;06/11/2012 08:28:09; ();
;Hapus data Pembelian;06/11/2012 08:28:38; (2536);
;Insert data;06/11/2012 08:29:44; ();
;Insert data;06/11/2012 08:29:59; ();
;Insert data;06/11/2012 08:30:12; ();
;Insert data;06/11/2012 08:30:49; ();
;Insert data;06/11/2012 08:31:01; ();
;Insert data;06/11/2012 08:31:07; ();
;Insert data;06/11/2012 08:31:09; ();
;Insert data;06/11/2012 08:31:20; ();
;Insert data;06/11/2012 08:31:25; ();
;Insert data;06/11/2012 08:31:25; ();
;Insert data;06/11/2012 08:31:26; ();
;Insert data;06/11/2012 08:31:35; ();
;Insert data;06/11/2012 08:31:37; ();
;Insert data;06/11/2012 08:31:37; ();
;Insert data;06/11/2012 08:32:10; ();
;Insert data;06/11/2012 08:32:32; ();
;Insert data;06/11/2012 08:32:35; ();
;Insert data;06/11/2012 08:33:09; ();
;Insert data;06/11/2012 08:34:01; ();
;Insert data;06/11/2012 08:35:02; ();
;Insert data;06/11/2012 08:35:50; ();
;Insert data;06/11/2012 08:36:12; ();
;Insert data;06/11/2012 08:36:44; ();
;Insert data;06/11/2012 08:36:55; ();
;Insert data;06/11/2012 08:37:09; ();
;Insert data;06/11/2012 08:38:21; ();
;Insert data;06/11/2012 08:38:25; ();
;Insert data;06/11/2012 08:39:20; ();
;Insert data;06/11/2012 08:39:33; ();
;Insert data;06/11/2012 08:39:38; ();
;Insert data;06/11/2012 08:40:03; ();
;Insert data;06/11/2012 08:41:31; ();
;Insert data;06/11/2012 08:43:24; ();
;Insert data;06/11/2012 08:50:07; ();
;Insert data;06/11/2012 08:55:44; ();
;Insert data;06/11/2012 09:21:57; ();
;Insert data;06/11/2012 09:22:17; ();
;Insert data;06/11/2012 09:22:22; ();
;Insert data;06/11/2012 09:22:30; ();
;Insert data;06/11/2012 09:23:20; ();
;Insert data;06/11/2012 09:23:27; ();
;Insert data;06/11/2012 09:23:37; ();
;Insert data;06/11/2012 09:23:37; ();
;Insert data;06/11/2012 09:24:10; ();
;Insert data;06/11/2012 09:24:23; ();
;Insert data;06/11/2012 09:24:43; ();
;Insert data;06/11/2012 09:24:44; ();
;Insert data;06/11/2012 09:24:58; ();
;Insert data;06/11/2012 09:26:08; ();
;Insert data;06/11/2012 09:27:05; ();
;Insert data;06/11/2012 09:27:27; ();
;Insert data;06/11/2012 09:29:48; ();
;Insert data;06/11/2012 09:30:40; ();
;Insert data;06/11/2012 09:33:13; ();
;Insert data;06/11/2012 09:33:26; ();
;Insert data;06/11/2012 09:34:05; ();
;Ubah data Gunggung;06/11/2012 09:34:09; ();
;Insert data;06/11/2012 09:34:25; ();
;Insert data;06/11/2012 09:34:27; ();
;Insert data;06/11/2012 09:34:29; ();
