FP-1;Hapus data user;13/11/2012 07:56:30; (hapus);
FP-1;Ubah data user;13/11/2012 07:57:03;opr68300 ();
;Insert data;13/11/2012 07:58:57; ();
opr60000;Insert Data Faktur Penjualan dgn Pemebeli BRI TANJUNG PERAK;13/11/2012 07:59:38; di Nopend 60000;
opr80000;Pembatalan Faktur Pajak Keluaran 020.000-12.00008082;13/11/2012 08:01:08; id : (9377);
opr80000;Pembatalan Faktur Pajak Keluaran 030.000-12.00007994;13/11/2012 08:01:32; id : (9289);
opr60000;Insert Data Faktur Penjualan dgn Pemebeli BRI TANJUNG PERAK;13/11/2012 08:01:35; di Nopend 60000;
opr60000;Insert Data Faktur Penjualan dgn Pemebeli PT DWIPA KHARISMA MITRA;13/11/2012 08:02:00; di Nopend 60000;
opr60000;Insert Data Faktur Penjualan dgn Pemebeli PT DWIPA KHARISMA MITRA;13/11/2012 08:03:47; di Nopend 60000;
961181539;Terkait BiayaPT. DAPENSI TRIO USAHA;13/11/2012 08:05:47; di Nopend 80500;
opr60000;Insert Data Faktur Penjualan dgn Pemebeli Departemen Pendidikan Nasional;13/11/2012 08:05:52; di Nopend 60000;
;Insert data;13/11/2012 08:05:58; ();
opr60000;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;13/11/2012 08:08:49; di Nopend 60000;
;Insert data;13/11/2012 08:08:50; ();
opr60900;Insert Data Faktur Penjualan dgn Pemebeli PT Dapensi Trio Usaha;13/11/2012 08:09:01; di Nopend 60900;
opr60000;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;13/11/2012 08:10:24; di Nopend 60000;
opr60900;Insert Data Faktur Penjualan dgn Pemebeli PT Dapensi Trio Usaha;13/11/2012 08:10:38; di Nopend 60900;
;Insert data;13/11/2012 08:13:50; ();
;Ubah data;13/11/2012 08:15:06; (2674);
;Insert data;13/11/2012 08:16:56; ();
;Insert data;13/11/2012 08:17:12; ();
;Insert data;13/11/2012 08:17:19; ();
;Insert data;13/11/2012 08:17:19; ();
;Insert data;13/11/2012 08:17:33; ();
;Insert data;13/11/2012 08:17:34; ();
