opr61100;Terkait BiayaCNB NIAGA;14/11/2012 09:35:04; di Nopend 61100;
;Ubah data rangewaktu;14/11/2012 09:49:53; (30);
;Ubah data rangewaktu;14/11/2012 09:50:00; (2);
;Ubah data rangewaktu;14/11/2012 09:50:15; (3);
;Ubah data rangewaktu;14/11/2012 09:50:24; (7);
;Ubah data rangewaktu;14/11/2012 09:50:32; (10);
;Ubah data rangewaktu;14/11/2012 09:50:39; (8);
;Ubah data rangewaktu;14/11/2012 09:51:18; (5);
;Ubah data rangewaktu;14/11/2012 09:51:38; (8);
;Ubah data rangewaktu;14/11/2012 09:51:51; (1);
;Ubah data rangewaktu;14/11/2012 09:52:08; (4);
;Ubah data rangewaktu;14/11/2012 09:52:16; (6);
;Ubah data rangewaktu;14/11/2012 09:52:34; (9);
;Ubah data rangewaktu;14/11/2012 10:14:23; (20);
;Ubah data rangewaktu;14/11/2012 10:14:29; (21);
;Ubah data rangewaktu;14/11/2012 10:14:36; (27);
;Ubah data rangewaktu;14/11/2012 10:14:47; (26);
;Ubah data rangewaktu;14/11/2012 10:14:56; (25);
;Ubah data rangewaktu;14/11/2012 10:15:10; (24);
;Ubah data rangewaktu;14/11/2012 10:15:20; (23);
;Ubah data rangewaktu;14/11/2012 10:15:38; (31);
;Ubah data rangewaktu;14/11/2012 10:15:54; (22);
;Ubah data rangewaktu;14/11/2012 10:16:04; (11);
;Ubah data rangewaktu;14/11/2012 10:16:13; (13);
;Ubah data rangewaktu;14/11/2012 10:16:19; (16);
;Ubah data rangewaktu;14/11/2012 10:16:27; (18);
;Ubah data rangewaktu;14/11/2012 10:16:34; (19);
opr80000;Terkait BiayaPT.MONANG SIANIPAR ABADI;14/11/2012 10:59:40; di Nopend 80000;
;Ubah Status Verifikasi;14/11/2012 11:03:15; (471);
971361368;Ubah data user;14/11/2012 11:03:33;ver62300 ();
opr80000;Terkait Daftarbuktipotong;14/11/2012 11:10:34; di Nopend 80000 dengan id ();
opr80000;Terkait Ssppph23biaya ;14/11/2012 11:21:33; di Nopend 80000 dengan id ();
opr80000;Terkait Ssppph23biaya ;14/11/2012 11:25:37; di Nopend 80000 dengan id ();
opr80000;Terkait Ssppph23biaya ;14/11/2012 11:26:19; di Nopend 80000 dengan id ();
opr80000;Bukti Setor SPT Masa PPH 23;14/11/2012 11:30:34; di Nopend 80000 dengan id ();
opr80000;Entry bukti Lapor SPT;14/11/2012 11:37:22; di Nopend 80000 dengan id ();
opr80000;Terkait PendapatanCENTRATAMA NASIONAL BANK;14/11/2012 11:41:47; di Nopend 80000;
;Ubah Status Verifikasi;14/11/2012 11:50:29; (114);
;Ubah data Entry Rekon PPh 23;14/11/2012 11:51:29; (54);
;Ubah data Entry Rekon PPh 23;14/11/2012 11:52:22; (54);
