opr97000;Ubah Data Faktur Penjualan 040.000-12.00008424;23/11/2012 06:35:29; di Nopend 97000 dengan id (9719);
opr99900;Ubah Data Faktur Penjualan 040.000-12.00008433;23/11/2012 06:39:20; di Nopend 99900 dengan id (9728);
opr99900;Ubah Data Faktur Penjualan 040.000-12.00008398;23/11/2012 06:40:28; di Nopend 99900 dengan id (9693);
opr99900;Ubah Data Faktur Penjualan 040.000-12.00008398;23/11/2012 06:40:57; di Nopend 99900 dengan id (9693);
;Insert data;23/11/2012 07:03:22; ();
;Insert data;23/11/2012 07:03:31; ();
;Insert data;23/11/2012 07:07:25; ();
;Insert data;23/11/2012 07:07:38; ();
;Insert data;23/11/2012 07:09:30; ();
;Insert data;23/11/2012 07:09:37; ();
;Insert data;23/11/2012 07:09:48; ();
;Insert data;23/11/2012 07:10:16; ();
;Insert data;23/11/2012 07:11:24; ();
;Insert data;23/11/2012 07:11:42; ();
;Ubah data;23/11/2012 07:11:54; (2848);
;Ubah data;23/11/2012 07:13:17; (2845);
;Insert data;23/11/2012 07:13:34; ();
;Hapus data Pembelian;23/11/2012 07:13:53; (2525);
;Ubah data;23/11/2012 07:17:08; (2848);
;Ubah data;23/11/2012 07:18:23; (2848);
;Insert data;23/11/2012 07:20:47; ();
;Insert data;23/11/2012 07:23:19; ();
;Insert data;23/11/2012 07:23:23; ();
;Insert data;23/11/2012 07:23:33; ();
;Insert data;23/11/2012 07:23:53; ();
;Insert data;23/11/2012 07:24:23; ();
;Insert data;23/11/2012 07:25:40; ();
;Insert data;23/11/2012 07:26:12; ();
;Insert data;23/11/2012 07:28:07; ();
;Insert data;23/11/2012 07:28:31; ();
;Insert data;23/11/2012 07:33:00; ();
;Insert data;23/11/2012 07:34:03; ();
;Insert data;23/11/2012 07:34:51; ();
;Insert data;23/11/2012 07:35:22; ();
;Insert data;23/11/2012 07:36:00; ();
;Insert data;23/11/2012 07:36:02; ();
;Insert data;23/11/2012 07:36:22; ();
;Insert data;23/11/2012 07:37:35; ();
;Insert data;23/11/2012 07:40:28; ();
;Insert data;23/11/2012 07:42:44; ();
;Insert data;23/11/2012 07:44:11; ();
;Insert data;23/11/2012 07:46:48; ();
;Insert data;23/11/2012 07:48:00; ();
;Insert data;23/11/2012 07:49:03; ();
;Insert data;23/11/2012 07:50:02; ();
;Insert data;23/11/2012 07:51:24; ();
;Insert data;23/11/2012 07:51:46; ();
;Ubah data;23/11/2012 07:54:00; (2871);
;Insert data;23/11/2012 07:55:28; ();
;Insert data;23/11/2012 08:00:19; ();
;Insert data;23/11/2012 08:02:08; ();
;Insert data;23/11/2012 08:06:27; ();
;Insert data;23/11/2012 08:08:57; ();
;Insert data;23/11/2012 08:10:30; ();
;Insert data;23/11/2012 08:10:30; ();
;Ubah data Gunggung;23/11/2012 08:23:56; ();
;Ubah data Gunggung;23/11/2012 08:28:29; ();
;Ubah data Gunggung;23/11/2012 08:29:14; ();
;Ubah data Gunggung;23/11/2012 08:29:22; ();
;Insert data;23/11/2012 08:30:32; ();
;Ubah data Gunggung;23/11/2012 08:31:29; ();
;Insert data;23/11/2012 08:31:33; ();
;Insert data;23/11/2012 08:33:01; ();
;Insert data;23/11/2012 08:35:24; ();
;Insert data;23/11/2012 08:36:33; ();
;Ubah data Gunggung;23/11/2012 08:36:55; ();
;Ubah data Gunggung;23/11/2012 08:39:26; ();
;Ubah data Gunggung;23/11/2012 08:39:45; ();
;Ubah data Gunggung;23/11/2012 08:39:56; ();
;Ubah data Gunggung;23/11/2012 08:40:29; ();
;Ubah data Gunggung;23/11/2012 08:44:27; ();
;Ubah data Gunggung;23/11/2012 08:45:05; ();
;Ubah data Gunggung;23/11/2012 08:46:27; ();
;Ubah data Gunggung;23/11/2012 08:47:11; ();
;Ubah data Gunggung;23/11/2012 08:47:12; ();
;Ubah data Gunggung;23/11/2012 08:48:28; ();
;Insert data;23/11/2012 08:53:48; ();
;Ubah data Gunggung;23/11/2012 08:55:23; ();
;Insert data;23/11/2012 08:55:40; ();
