opr28000;Terkait BiayaPT DAPENSI DWIKARYA;04/12/2012 07:55:32; di Nopend 28000;
FP-1;Ubah data user;04/12/2012 10:39:19;opr80000 ();
;Ubah data rangewaktu;04/12/2012 10:43:30; (21);
;Ubah data rangewaktu;04/12/2012 10:43:45; (20);
;Ubah data rangewaktu;04/12/2012 10:45:49; (1);
;Ubah data rangewaktu;04/12/2012 10:46:11; (4);
amel;Insert Data Faktur Penjualan dgn Pemebeli BTPN CIKAPUNDUNG;04/12/2012 10:54:52; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli PT DAPENSI ABADI ;04/12/2012 10:56:14; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli PT DAPENSI ABADI ;04/12/2012 10:58:07; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli BTPN AHMAD YANI;04/12/2012 10:58:45; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;04/12/2012 11:01:09; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli CV.RADEXTEL;04/12/2012 11:01:43; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli PT. BANK BRI ( PERSERO );04/12/2012 11:02:51; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli BTPN CIKAPUNDUNG;04/12/2012 11:04:25; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli PT ASURANSI CENTRAL ASIA ;04/12/2012 11:06:10; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli CV.RADEXTEL;04/12/2012 11:06:25; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli BTPN BURANGRANG;04/12/2012 11:11:06; di Nopend 40000;
amel;Insert Data Faktur Penjualan dgn Pemebeli Koperasi Ganda Ria;04/12/2012 11:14:12; di Nopend 40000;
969336391;Insert Data Faktur Penjualan dgn Pemebeli BRI NARIPAN BANDUNG;04/12/2012 11:15:23; di Nopend 40600;
amel;Insert Data Faktur Penjualan dgn Pemebeli BTPN LENGKONG;04/12/2012 11:17:37; di Nopend 40000;
969336391;Insert Data Faktur Penjualan dgn Pemebeli BPR BARA;04/12/2012 11:20:06; di Nopend 40600;
969336391;Insert Data Faktur Penjualan dgn Pemebeli KOPERASI MANDIRI NUSANTARA ;04/12/2012 11:22:04; di Nopend 40600;
amel;Ubah Data Faktur Penjualan 010.000-12.00008561;04/12/2012 11:22:46; di Nopend 40000 dengan id (9856);
969336391;Insert Data Faktur Penjualan dgn Pemebeli BPR BARA;04/12/2012 11:24:43; di Nopend 40600;
969336391;Insert Data Faktur Penjualan dgn Pemebeli PT.BTPN CAB.MAJALAYA;04/12/2012 11:27:59; di Nopend 40600;
969336391;Insert Data Faktur Penjualan dgn Pemebeli PT.BTPN CAB.MAJALAYA;04/12/2012 11:31:25; di Nopend 40600;
969336391;Insert Data Faktur Penjualan dgn Pemebeli MERDEKA MOTOR;04/12/2012 11:34:18; di Nopend 40600;
969336391;Ubah Data Faktur Penjualan 010.000-12.00008574;04/12/2012 11:35:27; di Nopend 40600 dengan id (9869);
969336391;Insert Data Faktur Penjualan dgn Pemebeli BANK BTPN UJUNGBERUNG;04/12/2012 11:37:56; di Nopend 40600;
969336391;Insert Data Faktur Penjualan dgn Pemebeli BANK SAUDARA 1906;04/12/2012 11:40:55; di Nopend 40600;
971361368;Ubah data user;04/12/2012 11:46:48;972335808 ();
amel;Ubah Data Faktur Penjualan 010.000-12.00008570;04/12/2012 11:47:21; di Nopend 40000 dengan id (9865);
amel;Ubah Data Faktur Penjualan 010.000-12.00008560;04/12/2012 11:49:09; di Nopend 40000 dengan id (9855);
amel;Ubah Data Faktur Penjualan 010.000-12.00008561;04/12/2012 11:53:33; di Nopend 40000 dengan id (9856);
amel;Ubah Data Faktur Penjualan 040.000-12.00008562;04/12/2012 11:53:56; di Nopend 40000 dengan id (9857);
amel;Ubah Data Faktur Penjualan 010.000-12.00008564;04/12/2012 11:54:18; di Nopend 40000 dengan id (9859);
amel;Ubah Data Faktur Penjualan 040.000-12.00008562;04/12/2012 11:54:38; di Nopend 40000 dengan id (9857);
;Insert data;04/12/2012 13:49:16; ();
opr80000;Terkait BiayaPT.KHRISNA MULTI LINTAS CEMERLANG;04/12/2012 14:17:07; di Nopend 80000;
;Ubah Status Verifikasi;04/12/2012 14:17:39; (645);
opr80000;Terkait Daftarbuktipotong;04/12/2012 14:19:02; di Nopend 80000 dengan id ();
opr80000;Terkait Ssppph23biaya ;04/12/2012 14:22:17; di Nopend 80000 dengan id ();
opr80000;Bukti Setor SPT Masa PPH 23;04/12/2012 14:38:39; di Nopend 80000 dengan id ();
opr80000;Entry bukti Lapor SPT;04/12/2012 14:41:57; di Nopend 80000 dengan id ();
opr80000;Entry bukti Lapor SPT;04/12/2012 14:42:12; di Nopend 80000 dengan id ();
opr80000;Entry bukti Lapor SPT;04/12/2012 14:43:20; di Nopend 80000 dengan id ();
opr80000;Terkait PendapatanCENTRATAMA NASIONAL BANK;04/12/2012 14:58:43; di Nopend 80000;
;Ubah Status Verifikasi;04/12/2012 14:59:33; (172);
