SM Disbang;Ubah Data Pengumuman Pengadaan ;09/12/2013 01:43:32; di lokasi  dengan id_pengadaan (100);
SM Disbang;Ubah Data Pengumuman Pengadaan ;09/12/2013 01:43:53; di lokasi  dengan id_pengadaan (100);
SM Disbang;Ubah Data Pengumuman Pengadaan ;09/12/2013 01:45:52; di lokasi  dengan id_pengadaan (100);
SM Disbang;Ubah Data Pengumuman Pengadaan ;09/12/2013 01:46:12; di lokasi  dengan id_pengadaan (100);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 06:51:42;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 09:53:51;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 09:54:57;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 09:59:52;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:05:28;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:18:59;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:27:54;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:45:33;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:49:49;104 (104);
pja_pusat;Ubah Status Pengadaan ;09/12/2013 10:55:55;101 (101);
SM Disbang;ubah data peringkat dgn id_supp ;09/12/2013 10:56:53; ();
;Ubah Status Pengadaan dengan id_pengadaan ;09/12/2013 12:57:05;98 dengan status pengadaan (11);
;Ubah Status Pengadaan dengan id_pengadaan ;09/12/2013 12:58:39;98 dengan status pengadaan (11);
;Ubah Status Pengadaan dengan id_pengadaan ;09/12/2013 12:59:56;98 dengan status pengadaan (11);
;Ubah Status Pengadaan dengan id_pengadaan ;09/12/2013 13:01:04;98 dengan status pengadaan (11);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 13:03:07;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 13:05:31;91 (91);
;Ubah Status Pengadaan dengan id_pengadaan ;09/12/2013 13:12:19;98 dengan status pengadaan (11);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 13:12:59;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 13:53:06;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 13:58:23;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:02:27;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:04:20;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:06:41;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:08:39;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:10:30;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:20:27;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:20:32;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:25:04;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:35:33;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:41:31;98 (98);
pos_1@posindonesia.co.id;Ubah Status Pengadaan ;09/12/2013 14:44:10;98 (98);
