;Insert data;14/12/2012 05:40:48; ();
;Ubah data rangewaktu;14/12/2012 14:55:11; (1);
;Ubah data rangewaktu;14/12/2012 14:55:44; (4);
;Ubah data rangewaktu;14/12/2012 14:56:02; (2);
;Ubah data rangewaktu;14/12/2012 14:56:26; (3);
;Ubah data rangewaktu;14/12/2012 14:58:08; (5);
;Ubah data rangewaktu;14/12/2012 14:58:53; (6);
;Ubah data rangewaktu;14/12/2012 15:00:03; (8);
;Ubah data rangewaktu;14/12/2012 15:00:13; (9);
;Ubah data rangewaktu;14/12/2012 15:00:43; (10);
;Ubah data rangewaktu;14/12/2012 15:01:24; (20);
;Ubah data rangewaktu;14/12/2012 15:02:44; (27);
;Ubah data rangewaktu;14/12/2012 15:02:56; (26);
;Ubah data rangewaktu;14/12/2012 15:03:19; (25);
;Ubah data rangewaktu;14/12/2012 15:03:45; (28);
;Ubah data rangewaktu;14/12/2012 15:03:57; (12);
;Ubah data rangewaktu;14/12/2012 15:05:57; (21);
;Ubah data rangewaktu;14/12/2012 15:06:19; (29);
;Ubah data rangewaktu;14/12/2012 15:06:36; (14);
;Ubah data rangewaktu;14/12/2012 15:07:01; (17);
;Ubah data rangewaktu;14/12/2012 15:07:16; (16);
